"","species","trophic_level","Lmax","K","tm","benthic_pelagic_dummy","family","mu","lower95","upper95","lower50","upper50","nutrient"
"1","Acanthurus mata",-0.77744844353224,-0.176032765220945,-0.436618981897629,-0.590161279420242,0,"Acanthuridae",36.1195915522079,29.1538558883507,44.6103050013316,34.0611083513445,39.2281456038759,"Ca"
"2","Aprion virescens",1.21743261247125,1.68031143840837,-1.02839458775712,0.501530423401178,1,"Lutjanidae",24.8226752862529,20.915925116669,29.5084857208657,23.4907493093465,26.4527529412922,"Ca"
"3","Cephalopholis argus",1.05964541030148,0.243634554627865,0.47782131480641,-0.230807475229984,0,"Serranidae",32.7272627033804,27.2694605486757,39.0707223387912,30.7549284361537,34.7926573714957,"Ca"
"4","Cephalopholis miniata",1.21743261247125,-0.176032765220945,-1.34735855924843,1.72317883627578,0,"Serranidae",36.9259674597319,30.0368363187539,45.6691596974699,34.3743304151839,39.6264271682448,"Ca"
"5","Carangoides plagiotaenia",0.913128722572413,-0.176032765220945,0.968095413605623,-0.565864062003482,1,"Carangidae",23.9338317492169,18.7176133521225,30.8391031582916,21.9603011033285,25.9900900138389,"Ca"
"6","Coris formosa",0.146733633535083,0.243634554627865,-0.975915333660614,-1.71314191844126,0,"Labridae",38.9892837360318,29.434280394945,52.8157937475592,35.0739363285538,42.7985556444182,"Ca"
"7","Epibulus insidiator",0.890587693691017,0.00111597371217986,0.363569122112705,-0.244589510036218,0,"Labridae",34.2990381198866,29.3738079824367,41.2521519801917,32.4174474373146,36.2897506815567,"Ca"
"8","Epinephelus merra",1.30759672799683,-1.27637441928135,0.360113316069465,0.218384780513179,0,"Serranidae",35.0874236800585,29.1386939017406,41.9442528214047,33.0940579697453,37.3789152023666,"Ca"
"9","Cephalopholis sonnerati",0.665177404877063,0.125567773275366,0.47782131480641,-0.230807475229984,0,"Serranidae",32.7974015782079,27.7873144445226,38.8807738316903,30.9822762472737,34.6734294371767,"Ca"
"10","Aethaloperca rogaa",1.10472746806427,0.243634554627865,-0.337758845936381,0.160663575454447,0,"Serranidae",34.6868821394856,29.1258048294237,40.5840946776097,32.9040774716981,36.7947716663499,"Ca"
"11","Epinephelus longispinis",1.04837489586078,0.0433519768586361,-0.480528055240234,0.218384780513179,0,"Serranidae",35.3249025777389,29.9237490188025,41.6744541505554,33.3847211135329,37.3096061366982,"Ca"
"12","Epinephelus spilotoceps",0.847844799642953,-0.997026291231446,-0.480528055240234,0.218384780513179,0,"Serranidae",36.9983469369226,30.7843875609386,45.1085825428287,34.8631540832639,39.5323259461916,"Ca"
"13","Hemigymnus fasciatus",0.315791457215435,0.905820455392362,0.363569122112705,-0.244589510036218,0,"Labridae",32.7194377644006,27.821403101458,38.7799056812772,31.0273782010677,34.7438215643317,"Ca"
"14","Cheilinus fasciatus",0.169274769486365,-0.689664053634148,0.781304216271544,-0.244589510036218,0,"Labridae",33.96840346905,29.4679344182195,39.5786921605408,32.1139513585659,35.4664971299465,"Ca"
"15","Cheilinus trilobatus",0.789153149380648,-0.418551346136631,1.57201093412954,-0.244589510036218,0,"Labridae",31.6340237587971,26.0702617477348,38.5320604328205,29.6602074697107,33.8803131042295,"Ca"
"16","Siganus argenteus",-0.664743170641398,-0.689664053634148,0.655245776669643,-1.37624772680233,0,"Siganidae",30.9142949557266,25.3365265293802,36.771765472998,28.9852643137118,32.8735189594451,"Ca"
"17","Siganus sutor",-1.37478570888922,-0.418551346136631,1.21511431529339,-1.37624772680233,0,"Siganidae",28.8836445684451,23.7352775060734,34.9090027195181,27.0495467524073,30.8715810205368,"Ca"
"18","Lethrinus microdon",0.653906890436365,0.905820455392362,-0.556651821551246,-0.253482475692434,0,"Lethrinidae",32.0242221227358,27.1813321004109,37.2603194664735,30.3445384147897,33.7508080958729,"Ca"
