"","Location","Year","count","Family","Species","length","a","b","biomass.kgha","mass.g","FG.fine","lat","lon","Management","state"
"80","Mahe E Patch","1994",2,"Acanthuridae","Acanthurus nigrofuscus",14,0.0301,2.967,4.917930927,76,"Herbivore Grazer",-4.703574,55.528198,"Fished","Recovering"
"90","Mahe NW Granite","1994",2,"Acanthuridae","Acanthurus triostegus",16,0.1317,2.392,6.493738873,100,"Herbivore Grazer",-4.562673,55.436906,"Fished","Recovering"
"91","Mahe NW Granite","1994",2,"Acanthuridae","Acanthurus triostegus",16,0.1317,2.392,6.493738873,100,"Herbivore Grazer",-4.562673,55.436906,"Fished","Recovering"
"95","Mahe W Granite","1994",2,"Acanthuridae","Acanthurus leucosternon",18,0.1317,2.392,8.606997057,132,"Herbivore Grazer",-4.659828,55.360993,"Fished","Recovering"
"96","Mahe W Granite","1994",2,"Acanthuridae","Acanthurus leucosternon",19,0.1317,2.392,9.795315655,151,"Herbivore Grazer",-4.659828,55.360993,"Fished","Recovering"
"97","Mahe W Granite","1994",2,"Acanthuridae","Acanthurus lineatus",22,0.0126,3.064,10.62203398,164,"Herbivore Grazer",-4.659828,55.360993,"Fished","Recovering"
"102","Mahe W Patch","1994",2,"Acanthuridae","Acanthurus leucosternon",26,0.1317,2.392,20.74225985,319,"Herbivore Grazer",-4.684675,55.434722,"Fished","Recovering"
"103","Mahe W Patch","1994",2,"Acanthuridae","Acanthurus nigrofuscus",16,0.0301,2.967,7.308773974,113,"Herbivore Grazer",-4.684675,55.434722,"Fished","Recovering"
"104","Mahe W Patch","1994",2,"Acanthuridae","Acanthurus nigrofuscus",17,0.0301,2.967,8.749082114,135,"Herbivore Grazer",-4.684675,55.434722,"Fished","Recovering"
"105","Mahe W Patch","1994",2,"Acanthuridae","Acanthurus nigrofuscus",17,0.0301,2.967,8.749082114,135,"Herbivore Grazer",-4.684675,55.434722,"Fished","Recovering"
"106","Mahe W Patch","1994",2,"Acanthuridae","Acanthurus nigrofuscus",18,0.0301,2.967,10.36606829,160,"Herbivore Grazer",-4.684675,55.434722,"Fished","Recovering"
"107","Praslin NE Carbonate","1994",2,"Acanthuridae","Acanthurus triostegus",15,0.1317,2.392,5.564807093,86,"Herbivore Grazer",-4.315847,55.756687,"Fished","Shifted"
"121","Praslin SW Carbonate","1994",2,"Acanthuridae","Acanthurus nigrofuscus",14,0.0301,2.967,4.917930927,76,"Herbivore Grazer",-4.350873,55.701522,"Fished","Shifted"
"122","Praslin SW Carbonate","1994",2,"Acanthuridae","Acanthurus nigrofuscus",15,0.0301,2.967,6.03508385,93,"Herbivore Grazer",-4.350873,55.701522,"Fished","Shifted"
"123","Praslin SW Granite","1994",2,"Acanthuridae","Acanthurus leucosternon",22,0.1317,2.392,13.90960748,214,"Herbivore Grazer",-4.313662,55.678717,"Fished","Recovering"
"124","Praslin SW Granite","1994",2,"Acanthuridae","Acanthurus leucosternon",22,0.1317,2.392,13.90960748,214,"Herbivore Grazer",-4.313662,55.678717,"Fished","Recovering"
"125","Praslin SW Granite","1994",2,"Acanthuridae","Acanthurus leucosternon",24,0.1317,2.392,17.12793919,264,"Herbivore Grazer",-4.313662,55.678717,"Fished","Recovering"
"159","Mahe E Granite","1994",3,"Acanthuridae","Acanthurus nigrofuscus",15,0.0301,2.967,6.03508385,93,"Herbivore Grazer",-4.734961,55.528958,"Fished","Shifted"
"161","Mahe E Patch","1994",3,"Acanthuridae","Acanthurus nigrofuscus",14,0.0301,2.967,4.917930927,76,"Herbivore Grazer",-4.703574,55.528198,"Fished","Recovering"
"162","Mahe E Patch","1994",3,"Acanthuridae","Acanthurus nigrofuscus",15,0.0301,2.967,6.03508385,93,"Herbivore Grazer",-4.703574,55.528198,"Fished","Recovering"
"168","Mahe NW Granite","1994",3,"Acanthuridae","Acanthurus leucosternon",23,0.1317,2.392,15.47008878,238,"Herbivore Grazer",-4.562673,55.436906,"Fished","Recovering"
"169","Mahe NW Granite","1994",3,"Acanthuridae","Acanthurus triostegus",16,0.1317,2.392,6.493738873,100,"Herbivore Grazer",-4.562673,55.436906,"Fished","Recovering"
"170","Mahe NW Granite","1994",3,"Acanthuridae","Acanthurus triostegus",16,0.1317,2.392,6.493738873,100,"Herbivore Grazer",-4.562673,55.436906,"Fished","Recovering"
